text,gender,age,sarcasm
Быстро работает паблик. Его уже вылечили и он приступил к работе.,2,34,0
"это был я ,если вы о комментариях.А вы прям сама правильность..к себе в душу не заглядывали?",2,43,1
"Георгий, вам начислено 50 + к вашей карме. Скорейшего покидания нашего колеса. Ом",2,43,1
"Вы рачьё поганое , тот, кто проигнорировал коммент скилловик, кто лайкнет рачьё поганое :)",2,29,0
вы плять гоните пластик заваривать?по возможности дошик в обычной тарелке заваривай.,2,43,0
"Суржик кстати мне нравиться Украинский менее понятный,но тоже красивый язык,хоть и смешной иногда.Вот небольшая польза от этого конфликта,лучше стал понимать язык соседей.",2,26,0
"Я написала фф о себе, в котором косвенно учавствуют мои одноклассники и даже бывшие одноклассники. Мне норм.",1,15,0
В вечерних новостях показали голого Шендеровича в кровати. Тоже мне аргумент..,1,19,0
"Продам брюки на мальчика. Рост 146. Новые. 700 руб. Ганино, Филейка",1,36,0
"user, я на родину сегодня уехал, в четверг приеду. С родными попрощаться в армию. Молодцы, я и не сомневался) не могу понять кто внизу?",2,22,0
"user, употребление кроме фруктов и овощей еще и злаков, орехов, растительных масел, зелени, меда.",2,97,0
"было бы здорово, если бы я пришел, а они стали ещё жирнее и этот вес не сбрасывался. Я бы каждый день ходил. Ходил бы, ходил и не уставал. Как на работу.",2,42,0
"Вот это поворот.Три дня кричали что мы все умрем,госпиталь развернули,а больных то в нем и нет.Здорого,по пути выздоровили?",2,55,1
"user, прям, как в песне.) Ты целуй меня везде Я приятная везде.",2,50,0
"Норман, я не семит и не антисемит. Я просто против слова ""ихней"".) А вы выбрали правильную ""позицию"" - эта ваша ""позиция"" актуальна и будет актуальна ещё какое-то время.",2,28,1
"Антистрелковцам платят, оказывается? Так можно было? Вот дура я, бесплатно его не любила еще до того, как он слил Славянск",1,23,1
Да как же он не забьет его же не видно ведь и в заявке нет Алексея Еременко то!,2,28,0
"Настя пошли гулять я знаю место , где собираются влюблённые поржать можно",2,19,0
"Наталья, например, ты получила снаряд от противника и все, дальше не можешь играть",2,19,0
"в наличии только чисто деревянные. можем покрыть но цена поднимется рублей на 200, если не больше",1,18,0
"Вчера с вечера заболела поджелудочная,моя кошечка легла как раз на это место и так проспала всю ночь со мной...А когда болит голова-лижет мне лоб!А сама она трехшерстная...",1,46,0
